anchor,positive,negative,anchor,positive,negative,anchor,positive,negative,anchor,positive,negative,anchor,positive,negative
track_id,track_id,track_id,genre_top,genre_top,genre_top,album_id,album_id,album_id,artist_id,artist_id,artist_id,genres_all,genres_all,genres_all
145742,91306,108867,Hip-Hop,Hip-Hop,International,21775,15117,16898,18872,11216,3936,[21],[21],"[2, 118]"
123979,89846,90590,Hip-Hop,Hip-Hop,Pop,18752,14962,15015,20707,16894,7444,"[539, 21]","[539, 21]","[10, 76]"
123969,75930,152570,Hip-Hop,Hip-Hop,Instrumental,18752,13303,22647,20707,15323,24088,"[539, 21]","[811, 21]","[267, 1235]"
123442,137900,71276,Hip-Hop,Hip-Hop,Rock,18671,20720,12642,20648,14456,1132,"[539, 100, 21]",[21],"[25, 45, 12, 53]"
141562,13767,59727,Hip-Hop,Hip-Hop,International,21277,3234,10964,22568,3773,6344,"[100, 21]",[21],[2]
71230,137898,127303,Hip-Hop,Hip-Hop,Pop,12637,20720,19245,14543,14456,21081,"[100, 21]",[21],[10]
119988,64625,4091,Hip-Hop,Hip-Hop,International,18314,11651,1678,20156,13493,1140,[21],"[811, 21]","[2, 117, 118, 130]"
49478,145749,125722,Hip-Hop,Hip-Hop,Pop,9417,21776,19004,11217,16031,20941,[21],[21],"[362, 10]"
24420,98551,45513,Hip-Hop,Hip-Hop,Folk,5347,15947,8848,6274,12271,10469,[21],"[539, 21]",[17]
14538,72789,109711,Hip-Hop,Hip-Hop,Experimental,3367,12921,17019,4035,3593,8109,[21],[21],"[456, 38]"
97037,107028,43883,Hip-Hop,Hip-Hop,Experimental,15739,16672,8611,17781,12085,10234,"[539, 21]",[21],"[32, 38]"
11776,13199,135229,Hip-Hop,Hip-Hop,International,2898,3141,20300,3089,3593,21947,[21],[21],"[1032, 2, 102]"
75746,11778,75785,Hip-Hop,Hip-Hop,Rock,13285,2898,13290,12271,3089,15310,"[539, 21]",[21],[12]
146726,64990,96935,Hip-Hop,Hip-Hop,Rock,21896,11726,15726,23348,13533,17496,[21],"[811, 21]","[25, 12, 109]"
